LOTE,REPETIÇÃO,SEMENTE,CLASSE,VIGOR,% VERMELHO
1,1,1,3,0,"49,26224353"
1,1,2,3,0,"55,55999785"
1,1,3,3,0,"44,12757031"
1,1,4,2,0,"98,33641358"
1,1,5,3,0,"76,38027571"
1,1,6,3,0,"57,45948937"
1,1,7,4,1,"65,91841399"
1,1,8,3,0,"88,19129435"
1,1,9,5,1,"97,93234436"
1,1,10,5,1,"13,93322344"
1,1,11,5,1,"3,20670392"
1,1,12,5,1,"35,48402747"
1,1,13,5,1,"2,440328276"
1,1,14,5,1,"69,96987394"
1,1,15,4,1,"23,41198251"
1,1,16,2,0,"95,80229811"
1,1,17,4,1,"29,36583529"
1,1,18,3,0,"20,04258703"
1,1,19,3,0,"57,37753579"
1,1,20,3,0,"16,01051801"
1,1,21,3,1,"4,83447215"
1,1,22,3,1,"7,047393709"
1,1,23,4,1,"13,97903241"
1,1,24,4,1,"60,01609854"
1,1,25,3,0,"52,49105645"
1,1,26,4,1,"45,19533124"
1,1,27,4,1,"31,40737526"
1,1,28,3,0,"71,31445259"
1,1,29,4,1,"19,6865705"
1,1,30,3,0,"2,005409503"
1,1,31,4,1,"32,13321063"
1,1,32,4,1,"47,15709916"
1,1,33,3,0,"79,21720938"
1,1,34,4,1,"26,59624207"
1,1,35,3,0,"63,89257278"
1,1,36,4,1,"59,05049511"
1,1,37,4,1,"2,480370104"
1,1,38,3,0,"4,150053728"
1,1,39,4,1,"89,99017705"
1,1,40,4,1,"4,781542899"
1,1,41,4,1,"51,18198302"
1,1,42,2,0,"49,72346204"
1,1,43,6,1,"38,79890207"
1,1,44,5,1,"18,27895363"
1,1,45,4,1,"1,624143661"
1,1,46,4,1,"28,50527868"
1,1,47,4,1,"34,54102486"
1,1,48,3,0,"95,35795482"
1,1,49,4,0,"98,12146672"
1,1,50,4,0,"4,17231805"
1,2,1,3,0,"9,268813581"
1,2,2,4,1,"15,7591385"
1,2,3,4,1,"30,23918423"
1,2,4,3,0,"72,16999925"
1,2,5,4,1,"39,41912089"
1,2,6,3,0,"54,88043669"
1,2,7,2,0,"42,31551092"
1,2,8,3,0,"30,5452995"
1,2,9,6,1,"59,39863215"
1,2,10,4,1,"82,21463614"
1,2,11,4,1,"13,12530625"
1,2,12,4,1,"77,3854257"
1,2,13,4,1,"79,36346707"
1,2,14,4,1,"37,7429546"
1,2,15,4,1,"88,56165886"
1,2,16,3,0,"0,966293085"
1,2,17,3,0,"74,68886987"
1,2,18,4,1,"62,39864287"
1,2,19,3,0,"10,85647848"
1,2,20,3,0,"46,39074937"
1,2,21,4,1,"20,5817305"
1,2,22,4,1,"34,20274176"
1,2,23,4,1,"64,13076281"
1,2,24,6,1,"0,797219416"
1,2,25,4,1,"16,8707515"
1,2,26,3,0,"27,78746171"
1,2,27,4,1,"47,95971283"
1,2,28,4,1,"38,1452466"
1,2,29,4,1,"85,21605011"
1,2,30,3,0,"71,76092711"
1,2,31,3,0,"98,15741062"
1,2,32,2,0,"4,135175689"
1,2,33,5,1,"23,81208417"
1,2,34,4,1,"25,73029542"
1,2,35,4,1,"97,13031123"
1,2,36,3,0,"1,995006306"
1,2,37,4,1,"73,11475324"
1,2,38,4,1,"36,78853647"
1,2,39,5,1,"54,91829909"
1,2,40,3,0,"60,66824224"
1,2,41,1,0,"80,20560655"
1,2,42,4,1,"63,8834795"
1,2,43,2,0,"96,43664007"
1,2,44,2,0,"28,36232909"
1,2,45,4,1,"49,11310706"
1,2,46,2,0,"77,72596571"
1,2,47,1,0,"60,45165978"
1,2,48,4,1,"36,46803401"
1,2,49,4,1,"29,74292018"
1,2,50,1,0,"53,75725063"
2,1,1,3,1,"1,467508137"
2,1,2,3,0,"21,53596993"
2,1,3,4,1,"29,02623018"
2,1,4,3,1,"76,18408682"
2,1,5,2,0,"86,97090152"
2,1,6,4,1,"76,29715112"
2,1,7,4,1,"24,47715383"
2,1,8,4,1,"62,20319049"
2,1,9,4,1,"99,37531552"
2,1,10,3,0,"24,64033876"
2,1,11,4,1,"22,55727824"
2,1,12,4,1,"97,27506771"
2,1,13,4,1,"84,52552957"
2,1,14,4,1,"80,00965655"
2,1,15,3,0,"32,07746882"
2,1,16,4,1,"44,67047383"
2,1,17,4,1,"36,76806493"
2,1,18,4,1,"51,86177194"
2,1,19,5,1,"16,32404567"
2,1,20,3,0,"55,50106435"
2,1,21,2,0,"74,36252738"
2,1,22,4,1,"10,62268808"
2,1,23,4,1,"46,67852706"
2,1,24,5,1,"59,05903334"
2,1,25,4,1,"38,40338574"
2,1,26,4,1,"8,010016506"
2,1,27,3,0,"5,207101326"
2,1,28,3,0,"57,52889976"
2,1,29,3,0,"43,44130941"
2,1,30,4,1,"76,63733477"
2,1,31,4,1,"74,0280782"
2,1,32,3,0,"83,99777985"
2,1,33,5,1,"18,63767058"
2,1,34,3,0,"0,4930426006"
2,1,35,3,0,"5,222578749"
2,1,36,4,1,"8,178856238"
2,1,37,4,1,"4,555342231"
2,1,38,4,1,"56,18691572"
2,1,39,3,0,"86,63573767"
2,1,40,4,1,"90,37598951"
2,1,41,4,1,"12,58349318"
2,1,42,3,0,"73,78330571"
2,1,43,4,1,"6,122751065"
2,1,44,3,0,"90,9556917"
2,1,45,3,0,"11,51359371"
2,1,46,4,1,"55,59076526"
2,1,47,3,0,"69,62612773"
2,1,48,3,0,"39,9560004"
2,1,49,5,1,"78,92835898"
2,1,50,4,1,"21,45359869"
2,2,1,4,1,"46,92750777"
2,2,2,4,1,"59,45003411"
2,2,3,2,0,"43,83491728"
2,2,4,3,0,"19,89167501"
2,2,5,3,0,"2,999489792"
2,2,6,4,1,"9,895320419"
2,2,7,4,1,"51,36800125"
2,2,8,4,1,"55,86059969"
2,2,9,3,0,"22,58988056"
2,2,10,4,1,"0,9382506633"
2,2,11,3,0,"0,4085050368"
2,2,12,4,1,"37,95509018"
2,2,13,2,0,"51,00288725"
2,2,14,4,1,"67,00629564"
2,2,15,4,1,"40,60727782"
2,2,16,4,1,"40,55425651"
2,2,17,4,1,"54,99871224"
2,2,18,4,1,"58,50892858"
2,2,19,2,0,"66,57352624"
2,2,20,3,0,"9,708195067"
2,2,21,4,1,"54,31513305"
